"listingId","color","fullBlood","enoblement","sire","dam"
"buck-063","CORRECT","Fullblood","*ENNOBLED*","(10799655) 2M BOER GOATS TROUBLE","(10794026) 4SOF SALLY"
"buck-064","CORRECT","Fullblood","","(10700016) TST1 GSR ALL TRUMPED UP","(10710049) MULBERRY MEADOWS PAGEANT MATERIAL"
"buck-065","","Fullblood","","(10860646) 2CCB OUTCAST&#39;S CASPER","(10756624) PTFM ECLIPSE"
"buck-066","RED AND TAN DAPPLE","Fullblood","*ENNOBLED*","(10801630) TALL TOWERS RANCH "" BLUE ON BLACK""","(10677767) LK7 BLAZE OF GLORY"
"buck-067","RED DAPPLE PAINT","Fullblood","","(10879955) 2CCB LEGEND&#39;S PIMPIN PONY","(10795310) CLD1 TANGLETREES SHEZ PAINTED DYNAMITE"
"buck-068","Traditional","Fullblood","","(10911687) SCA16 HEAT WAVE","(10911670) SCA16 FIRST CLASS"
"buck-069","TRADITIONAL","Fullblood","*ENNOBLED*","(10856969) PF08 XFINITY","(10872448) SLBNK YOAKUM&#39;S CAROL"
"buck-070","RED","Fullblood","","(10882661) 2M BOER GOATS NIGHT EDITION","(10882640) 2M BOER GOATS ANGEL ON FIRE"
"buck-071","RED DAPPLE","Fullblood","","(10880650) 4JJ DEVILS ADVOCATE","(10908631) ZA STRAWBERRY JELLO"
"buck-072","RED/WHITE DAPPLE","Fullblood","","(10677768) LK7 DEVIL SPOTS","(10770414) 4JJ MISTLETOE"
"buck-073","RED AND TAN DAPPLE","Fullblood","","(10801630) TALL TOWERS RANCH "" BLUE ON BLACK""","(10807697) 2JW UNANIMOUS BEAUTY"
"buck-074","CHOCOLATE WITH BLACK DAPPLES","Fullblood","","(10809849) MAYOS MAYO BOER GOATS KING PIN&#39;S CALL SHOT","(10749201) TADITA TO PARIS WITH LOVE"
"buck-075","RED DAPPLE","Fullblood","","(10833635) RBMG INNOVATER","(10836961) 5RF SOUTHERN DELIGHT"
"buck-076","Tiger dapple","Fullblood","","(10775798) 2M BOER GOATS JIM BEAM","(10859461) HOBBY MOONEY MANIBU K2016"
"buck-077","RED","Fullblood","*ENNOBLED*","(10842559) LHF5 LOCUST HAVEN RAISING CAIN","(10827475) LHF5 OLD FASHIONED CHERRY"
"buck-078","TRADITIONAL","Purebred","","(10883123) LHF5 LOCUST HAVEN DIRTY HARRY","(10838410) LHF5 PRETTY IN PINK"
"buck-079","TRADITIONAL","American","","(10799655) 2M BOER GOATS TROUBLE","(BOERX)"
"buck-080","TRADITIONAL","American","","(10865411) LHF5 BAD TO THE BONES","(10730039) LHF5 GOOSE&#39;S PERFECT APPLETINI"
"buck-081","TRADITIONAL","Fullblood","*ENNOBLED*","(10732984) AABG NBD MASTER CHEF","(10688157) ATW2 HELLO DOLLY"
"buck-082","TRADITIONAL","American","","(10609680) AABG NBD GREY GOOSE","(OTHER)"
"buck-083","CORRECT","Fullblood","","(10842201) TKGB WAR PARTY","(10853991) 2M BOER GOATS ROCKETTE"
"buck-084","BLACK AND WHITE PAINT","Fullblood","*ENNOBLED*","(10869744) MADI PERFECTLY PIMPIN&#39;","(10870829) TRV/MADI GLO IN THE DARK"
"buck-085","BLACK","Fullblood","","(10798843) PF08 BLACK PANTHER","(10807139) KMBG1 H8470"
"buck-086","RED","Fullblood","","(10845734) KDCL MAN FROM SNOWY RIVER","(10900611) BIRDSONG BOERS MAI TAI"
"buck-087","CORRECT W/ RED SPOT ON RIGHT FRONT LEG","Fullblood","*ENNOBLED*","(10700016) TST1 GSR ALL TRUMPED UP","(10797669) PF08 OLYMPIC GOLD"
"buck-088","RED WHITE DAPLE","Fullblood","*ENNOBLED*","(10760030) LANHA STAR GATE&#39;S MOON SPOT","(10788662) SUNFLOWER BOERS CASH THE GOODS"
"buck-089","RED","Fullblood","*ENNOBLED*","(10845734) KDCL MAN FROM SNOWY RIVER","(10855145) MISG LIL&#39; RED"
"buck-090","SOLID RED","Fullblood","","(10829675) ADVBG EXECUTIVE DECISION","(10843004) OKS03 WAR PAINT"
"buck-091","RED AND WHITE PAINT","Fullblood","","(10829675) ADVBG EXECUTIVE DECISION","(10843004) OKS03 WAR PAINT"
"buck-092","RED DAPPLE","Fullblood","","(10882661) 2M BOER GOATS NIGHT EDITION","(10798241) FNHR CRACKERJACK"
"buck-093","DAPPLE","Fullblood","","(10801630) TALL TOWERS RANCH "" BLUE ON BLACK""","(10886925) RMA2 HOT-N-SPICY"
"buck-094","TRADITIONAL","Fullblood","*ENNOBLED*","(10810844) ADVBG BRAVO","(10834736) TJD7 D2 BOER GOATS CANDY PAINT"
"buck-095","","","","",""
"buck-096","BLACK","Fullblood","","(10745093) LK7 HSFG AFTER DARK","(10840352) MGS1 SUNSET STREAKING RED"
"buck-097","BLACK/WHITE DAPPLED","Fullblood","*ENNOBLED*","(10777431) JAD SRB RUGER&#39;S EVOLUTION","(10724577) JAD SRB LUCKY&#39;S BLACK BEAUTY"
"buck-098","PAINT","Fullblood","*ENNOBLED*","(10698901) ADVBG UNANIMOUS DECISION","(10793211) NICL MISS LADY IN RED H007"
"buck-099","CORRECT","Fullblood","","(10882972) ADVBG SNIPER","(10871416) ASHY ROYALLY CONFUSED"
"buck-100","CORRECT","Fullblood","","(10775798) 2M BOER GOATS JIM BEAM","(10876683) 4-L BOER GOATS SOMETHIN&#39; TO TALK ABOUT"
"buck-101","","Fullblood","","(10841211) REGEL TRUMP MY RECORD","(10794670) TST1 WINDY ACRES STRIKE MY FANCY"
"buck-102","CORRECT","Fullblood","","(10871419) ASHY I&#39;M SO CONFUSED","(10841315) ASHY TOOTSIE ROLL"
"buck-103","RED PAINT","Fullblood","","(10689311) RDO4 WTW CUERO SERVED SMOKIN HOT","(10570505) POWELL/HOLMAN KIT KAT"
"buck-104","PAINT","Fullblood","","(10698901) ADVBG UNANIMOUS DECISION","(10901701) SRF2 SHAMROCKS GLORY SEEKER 2140"
"buck-105","DAPPLE","Fullblood","","(10880650) 4JJ DEVILS ADVOCATE","(10886925) RMA2 HOT-N-SPICY"
